,data_ref,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda
0,2015-01-01,F,False,True,1,Assalariado,Secundário,Casado,Casa,36,3.5753424657534247,3.0,3369.24
1,2015-01-01,M,True,True,0,Empresário,Secundário,Casado,Casa,42,0.8602739726027397,2.0,6096.14
2,2015-01-01,M,True,True,2,Assalariado,Superior completo,Casado,Casa,31,8.065753424657535,4.0,5658.98
3,2015-01-01,F,True,False,0,Empresário,Secundário,Casado,Casa,50,1.2082191780821918,2.0,7246.69
4,2015-01-01,M,False,False,0,Assalariado,Secundário,Casado,Casa,52,13.873972602739729,2.0,4017.37
5,2015-01-01,M,False,True,0,Assalariado,Superior incompleto,Casado,Casa,46,15.561643835616438,2.0,5483.58
6,2015-01-01,F,False,True,0,Assalariado,Secundário,Casado,Casa,51,5.046575342465753,2.0,1947.99
7,2015-01-01,M,True,True,0,Empresário,Secundário,Casado,Casa,24,1.5917808219178082,2.0,7781.51
8,2015-01-01,F,False,False,0,Assalariado,Secundário,Casado,Casa,53,3.4301369863013704,2.0,5577.82
9,2015-01-01,F,False,True,2,Servidor público,Secundário,União,Casa,34,7.219178082191781,4.0,803.34
10,2015-01-01,F,False,True,0,Assalariado,Superior completo,Casado,Casa,35,5.638356164383563,2.0,3109.79
11,2015-01-01,F,True,True,1,Empresário,Superior completo,Casado,Casa,31,4.479452054794519,3.0,2779.67
12,2015-01-01,M,True,True,2,Pensionista,Primário,Casado,Casa,60,,4.0,5114.7
13,2015-01-01,F,False,True,0,Servidor público,Secundário,União,Casa,50,16.528767123287672,2.0,4640.47
14,2015-01-01,F,False,True,0,Assalariado,Secundário,Solteiro,Casa,46,7.934246575342466,1.0,1055.14
15,2015-01-01,F,False,False,1,Servidor público,Secundário,Solteiro,Casa,42,5.542465753424659,2.0,1728.33
16,2015-01-01,F,True,True,1,Empresário,Secundário,Casado,Casa,41,5.358904109589041,3.0,1934.8
17,2015-01-01,M,True,True,1,Assalariado,Superior completo,Separado,Casa,44,6.934246575342466,2.0,3939.28
18,2015-01-01,M,True,True,0,Assalariado,Secundário,Casado,Casa,33,4.008219178082192,2.0,4787.86
19,2015-01-01,M,True,True,0,Pensionista,Superior completo,Casado,Casa,64,,2.0,4501.53
